image_name,component_id,area_px,perimeter_px,bbox_x,bbox_y,bbox_width,bbox_height
10_processed_weld_mask.png,1,22,22,0,98,6,5
10_processed_weld_mask.png,2,65,46,60,98,15,7
10_processed_weld_mask.png,3,35,34,99,98,12,4
10_processed_weld_mask.png,4,42,38,139,98,10,8
10_processed_weld_mask.png,5,176,76,236,98,20,16
10_processed_weld_mask.png,6,381,122,598,98,22,30
10_processed_weld_mask.png,7,28,26,364,119,5,8
10_processed_weld_mask.png,8,22,22,67,120,6,5
10_processed_weld_mask.png,9,56,54,237,120,16,6
10_processed_weld_mask.png,10,99,54,593,150,14,12
10_processed_weld_mask.png,11,169,62,6,154,17,13
10_processed_weld_mask.png,12,171,66,225,155,20,12
10_processed_weld_mask.png,13,63,48,520,155,18,5
10_processed_weld_mask.png,14,73,52,570,157,13,10
10_processed_weld_mask.png,15,72,46,463,159,15,8
10_processed_weld_mask.png,16,35,30,261,160,8,7
10_processed_weld_mask.png,17,100,58,722,160,20,7
10_processed_weld_mask.png,18,32,28,380,161,8,6
10_processed_weld_mask.png,19,30,26,687,162,8,5
1_processed_weld_mask.png,1,218,68,1386,193,18,16
1_processed_weld_mask.png,2,343,112,1413,193,44,10
1_processed_weld_mask.png,3,207,74,263,198,19,17
1_processed_weld_mask.png,4,329,88,1455,206,25,19
1_processed_weld_mask.png,5,375,92,764,219,25,20
